movie_ref,discogs_title_norm,tmdb_title_norm,discogs_year,tmdb_year,discogs_genre,tmdb_genre,discogs_style
Akira,geinoh yamashirogumi symphonic suite akira,akira hip hop shop,2014,2007,"Electronic, Folk, World, & Country, Stage & Screen",,"Score, Soundtrack"
Akira,geinoh yamashirogumi symphonic suite akira,,2014,2002,"Electronic, Folk, World, & Country, Stage & Screen",,"Score, Soundtrack"
Akira,geinoh yamashirogumi symphonic suite akira,,2014,2002,"Electronic, Folk, World, & Country, Stage & Screen",,"Score, Soundtrack"
Akira,geinoh yamashirogumi symphonic suite akira,,2014,2022,"Electronic, Folk, World, & Country, Stage & Screen",,"Score, Soundtrack"
Akira,geinoh yamashirogumi symphonic suite akira,,2014,1988,"Electronic, Folk, World, & Country, Stage & Screen",,"Score, Soundtrack"
Akira,geinoh yamashirogumi symphonic suite akira,,2014,2022,"Electronic, Folk, World, & Country, Stage & Screen",,"Score, Soundtrack"
Akira,geinoh yamashirogumi symphonic suite akira,akira project,2014,2014,"Electronic, Folk, World, & Country, Stage & Screen",,"Score, Soundtrack"
Akira,geinoh yamashirogumi symphonic suite akira,,2014,1989,"Electronic, Folk, World, & Country, Stage & Screen",,"Score, Soundtrack"
Akira,geinoh yamashirogumi symphonic suite akira,,2014,2017,"Electronic, Folk, World, & Country, Stage & Screen",,"Score, Soundtrack"
Akira,geinoh yamashirogumi symphonic suite akira,,2014,2000,"Electronic, Folk, World, & Country, Stage & Screen",,"Score, Soundtrack"
Akira,geinoh yamashirogumi symphonic suite akira,,2014,2016,"Electronic, Folk, World, & Country, Stage & Screen",,"Score, Soundtrack"
Akira,geinoh yamashirogumi symphonic suite akira,,2014,1993,"Electronic, Folk, World, & Country, Stage & Screen",,"Score, Soundtrack"
Akira,geinoh yamashirogumi symphonic suite akira,origami,2014,2007,"Electronic, Folk, World, & Country, Stage & Screen",,"Score, Soundtrack"
Akira,geinoh yamashirogumi symphonic suite akira,,2014,2002,"Electronic, Folk, World, & Country, Stage & Screen",,"Score, Soundtrack"
Akira,geinoh yamashirogumi akira,akira,2014,1988,"Electronic, Folk, World, & Country, Stage & Screen",,Soundtrack
Akira,geinoh yamashirogumi akira,akira,2014,2016,"Electronic, Folk, World, & Country, Stage & Screen",,Soundtrack
Akira,geinoh yamashirogumi akira,akira,2014,,"Electronic, Folk, World, & Country, Stage & Screen",,Soundtrack
Akira,geinoh yamashirogumi akira,akira,2014,2016,"Electronic, Folk, World, & Country, Stage & Screen",,Soundtrack
Akira,geinoh yamashirogumi akira,akira,2014,2025,"Electronic, Folk, World, & Country, Stage & Screen",,Soundtrack
Akira,geinoh yamashirogumi akira,,2014,2022,"Electronic, Folk, World, & Country, Stage & Screen",,Soundtrack
Akira,geinoh yamashirogumi akira,akira hip hop shop,2014,2007,"Electronic, Folk, World, & Country, Stage & Screen",,Soundtrack
Akira,geinoh yamashirogumi akira,,2014,2002,"Electronic, Folk, World, & Country, Stage & Screen",,Soundtrack
Akira,geinoh yamashirogumi akira,,2014,2002,"Electronic, Folk, World, & Country, Stage & Screen",,Soundtrack
Akira,geinoh yamashirogumi akira,,2014,2022,"Electronic, Folk, World, & Country, Stage & Screen",,Soundtrack
