tmdb_id,discogs_id,tmdb_title,discogs_title,tmdb_year,discogs_year,token_score,partial_score,hybrid_score,year_diff
,,secrets of the back to the future trilogy,alan silvestri back to the future iii,1990.0,1990.0,61.53846153846154,67.6923076923077,63.38,0.0
,,secrets of the back to the future trilogy,alan silvestri back to the future ii,1990.0,1989.0,62.33766233766234,68.75,64.26,1.0
,,making of back to the future iii,alan silvestri back to the future iii,1990.0,1990.0,69.56521739130434,85.71428571428572,74.41,0.0
,,making of back to the future iii,alan silvestri back to the future ii,1990.0,1989.0,67.64705882352942,83.63636363636364,72.44,1.0
,,back to the future behind the scenes special presentation,alan silvestri back to the future iii,1989.0,1990.0,53.191489361702125,67.85714285714286,57.59,1.0
,,back to the future behind the scenes special presentation,alan silvestri back to the future ii,1989.0,1989.0,53.76344086021505,69.0909090909091,58.36,0.0
,,making of back to the future ii,alan silvestri back to the future iii,1989.0,1990.0,67.64705882352942,83.63636363636364,72.44,1.0
,,making of back to the future ii,alan silvestri back to the future ii,1989.0,1989.0,68.65671641791045,85.18518518518519,73.62,0.0
,,batman begins,hans zimmer and james newton howard batman begins,2005.0,2005.0,41.93548387096774,100.0,59.35,0.0
,,batman begins,hans zimmer and james newton howard batman begins,2005.0,2005.0,41.93548387096774,100.0,59.35,0.0
,,beetlejuice,danny elfman beetlejuice,1988.0,1988.0,62.857142857142854,100.0,74.0,0.0
,,beetlejuice,danny elfman beetlejuice,1988.0,1988.0,62.857142857142854,100.0,74.0,0.0
,,beetlejuice beetlejuice,various beetlejuice beetlejuice,2024.0,2024.0,85.18518518518519,100.0,89.63,0.0
,,beetlejuice beetlejuice,various beetlejuice beetlejuice,2024.0,2024.0,85.18518518518519,100.0,89.63,0.0
,,documentary for the recently deceased the making of beetlejuice,danny elfman beetlejuice,,1988.0,48.275862068965516,73.17073170731707,55.74,
,,documentary for the recently deceased the making of beetlejuice,various beetlejuice beetlejuice,,2024.0,44.680851063829785,59.01639344262295,48.98,
,,documentary for the recently deceased the making of beetlejuice,danny elfman beetlejuice,,2015.0,48.275862068965516,73.17073170731707,55.74,
,,documentary for the recently deceased the making of beetlejuice,danny elfman beetlejuice,,1988.0,48.275862068965516,73.17073170731707,55.74,
,,documentary for the recently deceased the making of beetlejuice,various beetlejuice beetlejuice,,2024.0,44.680851063829785,59.01639344262295,48.98,
