movie_ref,tmdb_title_norm,discogs_title_norm,tmdb_year,discogs_year,tmdb_genre,discogs_genre,discogs_style,hybrid_score
Amélie,amelie nothomb une vie entre deux eaux,yann tiersen amelie,2012,,99,"Pop, Classical, Stage & Screen","Soundtrack, Chanson, Neo-Classical",46.33
Amélie,amelie ich komme,yann tiersen amelie,1986,,18,"Pop, Classical, Stage & Screen","Soundtrack, Chanson, Neo-Classical",52.36
Amélie,amelie ich komme,yann tiersen amelie,1986,,18,"Electronic, Pop, Stage & Screen","Modern Classical, Chanson, Soundtrack",52.36
Amélie,amelie ich komme,yann tiersen amelie,1986,,18,"Pop, Classical, Stage & Screen","Soundtrack, Chanson, Neo-Classical",52.36
Amélie,keep an eye on amelia,yann tiersen amelie,1949,,35,"Pop, Classical, Stage & Screen","Soundtrack, Chanson, Neo-Classical",59.07
Amélie,keep an eye on amelia,yann tiersen amelie,1949,,35,"Electronic, Pop, Stage & Screen","Modern Classical, Chanson, Soundtrack",59.07
Amélie,keep an eye on amelia,yann tiersen amelie,1949,,35,"Pop, Classical, Stage & Screen","Soundtrack, Chanson, Neo-Classical",59.07
Amélie,occupe toi amelie,yann tiersen amelie,2012,,35,"Pop, Classical, Stage & Screen","Soundtrack, Chanson, Neo-Classical",53.75
Amélie,occupe toi amelie,yann tiersen amelie,2012,,35,"Electronic, Pop, Stage & Screen","Modern Classical, Chanson, Soundtrack",53.75
Amélie,occupe toi amelie,yann tiersen amelie,2012,,35,"Pop, Classical, Stage & Screen","Soundtrack, Chanson, Neo-Classical",53.75
Amélie,amie amelie,yann tiersen amelie,2014,,99,"Pop, Classical, Stage & Screen","Soundtrack, Chanson, Neo-Classical",66.0
Amélie,amie amelie,yann tiersen amelie,2014,,99,"Electronic, Pop, Stage & Screen","Modern Classical, Chanson, Soundtrack",66.0
Amélie,amie amelie,yann tiersen amelie,2014,,99,"Pop, Classical, Stage & Screen","Soundtrack, Chanson, Neo-Classical",66.0
Amélie,amelie albrecht zwaar leven,yann tiersen amelie,2021,,,"Pop, Classical, Stage & Screen","Soundtrack, Chanson, Neo-Classical",50.92
Amélie,amelie albrecht zwaar leven,yann tiersen amelie,2021,,,"Electronic, Pop, Stage & Screen","Modern Classical, Chanson, Soundtrack",50.92
Amélie,amelie albrecht zwaar leven,yann tiersen amelie,2021,,,"Pop, Classical, Stage & Screen","Soundtrack, Chanson, Neo-Classical",50.92
Amélie,le voyage amelie,yann tiersen amelie,1974,,35,"Pop, Classical, Stage & Screen","Soundtrack, Chanson, Neo-Classical",63.29
Amélie,le voyage amelie,yann tiersen amelie,1974,,35,"Electronic, Pop, Stage & Screen","Modern Classical, Chanson, Soundtrack",63.29
Amélie,le voyage amelie,yann tiersen amelie,1974,,35,"Pop, Classical, Stage & Screen","Soundtrack, Chanson, Neo-Classical",63.29
Amélie,la passarella di amelie,yann tiersen amelie,2025,,,"Pop, Classical, Stage & Screen","Soundtrack, Chanson, Neo-Classical",56.67
Amélie,la passarella di amelie,yann tiersen amelie,2025,,,"Electronic, Pop, Stage & Screen","Modern Classical, Chanson, Soundtrack",56.67
Amélie,la passarella di amelie,yann tiersen amelie,2025,,,"Pop, Classical, Stage & Screen","Soundtrack, Chanson, Neo-Classical",56.67
Apocalypse Now,apocalypse now,carmine coppola francis coppola apocalypse now,1979,1979,"18, 10752","Electronic, Non-Music, Stage & Screen","Soundtrack, Modern Classical, Dialogue, Ambient",62.67
Apocalypse Now,apocalypse now,carmine coppola francis coppola apocalypse now,1979,1979,"18, 10752","Rock, Non-Music, Classical, Stage & Screen","Modern Classical, Ambient, Dialogue, Soundtrack",62.67
Apocalypse Now,apocalypse now,carmine coppola francis coppola apocalypse now,1979,1979,"18, 10752","Electronic, Non-Music, Stage & Screen","Soundtrack, Modern Classical, Dialogue, Ambient",62.67
Apocalypse Now,apocalypse now,carmine coppola francis coppola apocalypse now,1979,1979,"18, 10752","Non-Music, Stage & Screen","Modern Classical, Ambient, Dialogue, Score",62.67
Apocalypse Now,apocalypse now,carmine coppola francis coppola apocalypse now,1979,,"18, 10752","Rock, Non-Music, Classical, Stage & Screen","Modern Classical, Ambient, Dialogue",62.67
Apocalypse Now,zombie apocalypse now zombie hunter,carmine coppola francis coppola apocalypse now,2008,,"28, 27, 35","Rock, Non-Music, Classical, Stage & Screen","Modern Classical, Ambient, Dialogue",52.68
Apocalypse Now,apocalypse now now,carmine coppola francis coppola apocalypse now,2017,,14,"Rock, Non-Music, Classical, Stage & Screen","Modern Classical, Ambient, Dialogue",63.44
Apocalypse Now,daliso chaponda apocalypse not now,carmine coppola francis coppola apocalypse now,2020,,,"Rock, Non-Music, Classical, Stage & Screen","Modern Classical, Ambient, Dialogue",64.37
Apocalypse Now,dutch angle chas gerretsen apocalypse now,carmine coppola francis coppola apocalypse now,2019,,99,"Rock, Non-Music, Classical, Stage & Screen","Modern Classical, Ambient, Dialogue",52.99
Apocalypse Now,short cuts apocalypse now de francis ford coppola,carmine coppola francis coppola apocalypse now,,1979,,"Electronic, Non-Music, Stage & Screen","Soundtrack, Modern Classical, Dialogue, Ambient",64.69
Apocalypse Now,short cuts apocalypse now de francis ford coppola,carmine coppola francis coppola apocalypse now,,1979,,"Rock, Non-Music, Classical, Stage & Screen","Modern Classical, Ambient, Dialogue, Soundtrack",64.69
Apocalypse Now,short cuts apocalypse now de francis ford coppola,carmine coppola francis coppola apocalypse now,,1979,,"Electronic, Non-Music, Stage & Screen","Soundtrack, Modern Classical, Dialogue, Ambient",64.69
Apocalypse Now,short cuts apocalypse now de francis ford coppola,carmine coppola francis coppola apocalypse now,,1979,,"Non-Music, Stage & Screen","Modern Classical, Ambient, Dialogue, Score",64.69
Apocalypse Now,short cuts apocalypse now de francis ford coppola,carmine coppola francis coppola apocalypse now,,,,"Rock, Non-Music, Classical, Stage & Screen","Modern Classical, Ambient, Dialogue",64.69
Aquaman,aquaman,rupert gregson williams aquaman,2018,2018,"28, 12, 14","Electronic, Classical, Stage & Screen","Score, Soundtrack, Synth-pop, Modern Classical",55.79
Aquaman,aquaman,rupert gregson williams aquaman,2018,2018,"28, 12, 14","Electronic, Classical, Stage & Screen","Score, Soundtrack, Synth-pop, Modern Classical",55.79
Aquaman,aquaman,danny elfman justice league,2018,2017,"28, 12, 14","Rock, Pop, Stage & Screen",Soundtrack,29.33
Aquaman,aquaman,danny elfman justice league,2016,2017,18,"Rock, Pop, Stage & Screen",Soundtrack,29.33
Aquaman,aquaman heroines of atlantis,rupert gregson williams aquaman,2019,2018,99,"Electronic, Classical, Stage & Screen","Score, Soundtrack, Synth-pop, Modern Classical",45.22
Aquaman,aquaman heroines of atlantis,rupert gregson williams aquaman,2019,2018,99,"Electronic, Classical, Stage & Screen","Score, Soundtrack, Synth-pop, Modern Classical",45.22
Aquaman,lego dc comics super heroes aquaman rage of atlantis,rupert gregson williams aquaman,2018,2018,"16, 10751, 28, 35","Electronic, Classical, Stage & Screen","Score, Soundtrack, Synth-pop, Modern Classical",45.85
Aquaman,lego dc comics super heroes aquaman rage of atlantis,rupert gregson williams aquaman,2018,2018,"16, 10751, 28, 35","Electronic, Classical, Stage & Screen","Score, Soundtrack, Synth-pop, Modern Classical",45.85
Aquaman,lego dc comics super heroes aquaman rage of atlantis,danny elfman justice league,2018,2017,"16, 10751, 28, 35","Rock, Pop, Stage & Screen",Soundtrack,41.87
Aquaman,going deep into the world of aquaman,rupert gregson williams aquaman,2019,2018,99,"Electronic, Classical, Stage & Screen","Score, Soundtrack, Synth-pop, Modern Classical",51.08
Aquaman,going deep into the world of aquaman,rupert gregson williams aquaman,2019,2018,99,"Electronic, Classical, Stage & Screen","Score, Soundtrack, Synth-pop, Modern Classical",51.08
Aquaman,aquaman es az elveszett kiralysag,rupert gregson williams aquaman,,2018,,"Electronic, Classical, Stage & Screen","Score, Soundtrack, Synth-pop, Modern Classical",46.05
Aquaman,aquaman es az elveszett kiralysag,rupert gregson williams aquaman,,2021,,Stage & Screen,"Score, Soundtrack",46.05
Aquaman,aquaman es az elveszett kiralysag,rupert gregson williams aquaman,,2018,,"Electronic, Classical, Stage & Screen","Score, Soundtrack, Synth-pop, Modern Classical",46.05
Aquaman,aquaman es az elveszett kiralysag,rupert gregson williams aquaman,,2021,,Stage & Screen,"Score, Soundtrack",46.05
Aquaman,aquaman es az elveszett kiralysag,danny elfman justice league,,2017,,"Rock, Pop, Stage & Screen",Soundtrack,40.86
Avengers: Age of Ultron,avengers age of ultron,brian tyler danny elfman avengers age of ultron,2015,2015,"28, 12, 878",Stage & Screen,"Score, Soundtrack",74.64
Avengers: Age of Ultron,avengers age of ultron,brian tyler danny elfman avengers age of ultron,2015,2015,"28, 12, 878",Stage & Screen,"Score, Soundtrack",74.64
Avengers: Age of Ultron,avengers age of ultron,brian tyler danny elfman avengers age of ultron,2015,2015,"28, 12, 878",Stage & Screen,"Score, Soundtrack",74.64
Avengers: Age of Ultron,avengers age of ultron,brian tyler danny elfman avengers age of ultron,2015,2015,"28, 12, 878",Stage & Screen,"Score, Soundtrack",74.64
Avengers: Age of Ultron,avengers age of ultron,brian tyler danny elfman avengers age of ultron,2015,2015,"28, 12, 878",Stage & Screen,"Score, Soundtrack",74.64
Avatar,avatar,james horner avatar,2009,2009,"28, 12, 14, 878","Pop, Classical, Stage & Screen","Score, Contemporary, Vocal",63.6
Avatar,avatar the way of water,various avatar the way of water,2022,2023,"28, 12, 878",Stage & Screen,"Soundtrack, Score",89.63
Avatar,my avatar and me,james horner avatar,2010,2009,"99, 878","Pop, Classical, Stage & Screen","Score, Contemporary, Vocal",58.26
Avatar,avatar creating the world of pandora,james horner avatar,2010,2009,99,"Pop, Classical, Stage & Screen","Score, Contemporary, Vocal",44.95
