movie_ref,discogs_title_norm,tmdb_title_norm,discogs_year,tmdb_year,discogs_genre,tmdb_genre,discogs_style,score
Blade Runner 2049,hans zimmer benjamin wallfisch blade runner 2049,blade runner 2049,2017,2017,"Electronic, Stage & Screen",,"Score, Soundtrack, Ambient, Dark Ambient, Industrial",90.0
Blade Runner 2049,hans zimmer benjamin wallfisch blade runner 2049,blade runner 2049,2017,2017,"Electronic, Stage & Screen",,"Score, Soundtrack, Ambient, Dark Ambient, Industrial",90.0
Blade Runner 2049,hans zimmer and benjamin wallfisch blade runner 2049,blade runner 2049,2019,2017,"Electronic, Stage & Screen",,Dark Ambient,90.0
Blade Runner 2049,hans zimmer benjamin wallfisch blade runner 2049,blade runner 2049,2017,2017,"Electronic, Rock, Stage & Screen",,"Score, Soundtrack, Ambient, Dark Ambient, Industrial",90.0
Blade Runner 2049,hans zimmer and benjamin wallfisch blade runner 2049,blade runner 2049,2019,2017,"Electronic, Stage & Screen",,"Dark Ambient, Soundtrack, Score",90.0
Blade Runner 2049,hans zimmer benjamin wallfisch blade runner 2049,blade runner 2049,2017,2017,"Electronic, Stage & Screen",,"Score, Soundtrack, Ambient, Dark Ambient, Industrial",90.0
Blade Runner 2049,hans zimmer benjamin wallfisch blade runner 2049,blade runner 2049,2017,2017,"Electronic, Stage & Screen",,"Score, Soundtrack, Ambient, Dark Ambient, Industrial",90.0
Blade Runner 2049,hans zimmer and benjamin wallfisch blade runner 2049,blade runner 2049,2019,2017,"Electronic, Stage & Screen",,Dark Ambient,90.0
Bohemian Rhapsody,queen bohemian rhapsody,bohemian rhapsody,2019,2018,"Rock, Stage & Screen",,"Arena Rock, Soundtrack, Pop Rock",95.0
Bohemian Rhapsody,queen bohemian rhapsody,bohemian rhapsody recreating live aid,2019,2019,"Rock, Stage & Screen",,"Arena Rock, Soundtrack, Pop Rock",85.5
Bohemian Rhapsody,queen bohemian rhapsody,bohemian rhapsody la vraie histoire de queen,2019,2019,"Rock, Stage & Screen",,"Arena Rock, Soundtrack, Pop Rock",85.5
Bohemian Rhapsody,queen bohemian rhapsody,bohemian rhapsody,2019,2018,"Rock, Stage & Screen",,"Arena Rock, Soundtrack, Pop Rock",95.0
Bohemian Rhapsody,queen bohemian rhapsody,bohemian rhapsody recreating live aid,2019,2019,"Rock, Stage & Screen",,"Arena Rock, Soundtrack, Pop Rock",85.5
Bohemian Rhapsody,queen bohemian rhapsody,bohemian rhapsody la vraie histoire de queen,2019,2019,"Rock, Stage & Screen",,"Arena Rock, Soundtrack, Pop Rock",85.5
Captain America The First Avenger,alan silvestri music from marvel captain america the first avenger,captain america civil war,2015,2016,"Pop, Classical, Stage & Screen",,"Soundtrack, Contemporary, Modern, Score, Vocal",85.5
Captain America The First Avenger,alan silvestri music from marvel captain america the first avenger,captain america the winter soldier,2015,2014,"Pop, Classical, Stage & Screen",,"Soundtrack, Contemporary, Modern, Score, Vocal",85.5
Captain America The First Avenger,alan silvestri captain america the first avenger,captain america the first avenger,2011,2011,"Pop, Classical, Stage & Screen",,"Soundtrack, Score",95.0
Captain America The First Avenger,alan silvestri captain america the first avenger,captain america the first avenger,2011,2011,"Pop, Classical, Stage & Screen",,"Soundtrack, Contemporary, Modern, Score, Vocal",95.0
Captain America The First Avenger,alan silvestri captain america the first avenger,captain america the first avenger,2011,2011,"Pop, Classical, Stage & Screen",,"Soundtrack, Contemporary, Modern, Score, Vocal",95.0
Captain America The First Avenger,alan silvestri captain america the first avenger,captain america the first avenger,2011,2011,Stage & Screen,,"Soundtrack, Score, Vocal",95.0
Captain America The First Avenger,alan silvestri music from marvel captain america the first avenger,captain america civil war,2015,2016,"Pop, Classical, Stage & Screen",,"Soundtrack, Contemporary, Modern, Score, Vocal",85.5
Captain America The First Avenger,alan silvestri music from marvel captain america the first avenger,captain america the winter soldier,2015,2014,"Pop, Classical, Stage & Screen",,"Soundtrack, Contemporary, Modern, Score, Vocal",85.5
Captain America The First Avenger,alan silvestri captain america the first avenger,captain america the first avenger,2011,2011,"Pop, Classical, Stage & Screen",,"Soundtrack, Score",95.0
Captain America The First Avenger,alan silvestri captain america the first avenger,captain america the first avenger,2011,2011,"Pop, Classical, Stage & Screen",,"Soundtrack, Contemporary, Modern, Score, Vocal",95.0
Captain America The First Avenger,alan silvestri captain america the first avenger,captain america the first avenger,2011,2011,"Pop, Classical, Stage & Screen",,"Soundtrack, Contemporary, Modern, Score, Vocal",95.0
Captain America The First Avenger,alan silvestri captain america the first avenger,captain america the first avenger,2011,2011,Stage & Screen,,"Soundtrack, Score, Vocal",95.0
Captain America The Winter Soldier,henry jackman captain america the winter soldier,captain america the winter soldier,2014,2014,"Brass & Military, Stage & Screen",,"Score, Soundtrack, Theme",95.0
Captain America The Winter Soldier,henry jackman captain america the winter soldier,captain america the winter soldier,2014,2014,"Brass & Military, Stage & Screen",,"Score, Soundtrack, Theme",95.0
Cinema Paradiso,ennio morricone nuovo cinema paradiso,nuovo cinema paradiso,1988,1988,Stage & Screen,,Soundtrack,90.0
Cinema Paradiso,ennio morricone cinema paradiso 30th anniversary remastered edition,um cinema quase paradiso,2018,2019,Stage & Screen,,"Score, Soundtrack",85.5
Cinema Paradiso,ennio morricone cinema paradiso 30th anniversary remastered edition,kissing sequence cinema paradiso,2018,,Stage & Screen,,"Score, Soundtrack",85.5
Cinema Paradiso,ennio morricone nuovo cinema paradiso,um cinema quase paradiso,2020,2019,"Classical, Stage & Screen",,"Score, Soundtrack, Classical",85.5
Cinema Paradiso,ennio morricone nuovo cinema paradiso,um cinema quase paradiso,2017,2019,"Classical, Stage & Screen",,"Score, Soundtrack, Classical",85.5
Cinema Paradiso,ennio morricone nuovo cinema paradiso,nuovo cinema paradiso,1988,1988,Stage & Screen,,Soundtrack,90.0
Cinema Paradiso,ennio morricone cinema paradiso 30th anniversary remastered edition,um cinema quase paradiso,2018,2019,Stage & Screen,,"Score, Soundtrack",85.5
Cinema Paradiso,ennio morricone cinema paradiso 30th anniversary remastered edition,kissing sequence cinema paradiso,2018,,Stage & Screen,,"Score, Soundtrack",85.5
Cinema Paradiso,ennio morricone nuovo cinema paradiso,um cinema quase paradiso,2020,2019,"Classical, Stage & Screen",,"Score, Soundtrack, Classical",85.5
Cinema Paradiso,ennio morricone nuovo cinema paradiso,um cinema quase paradiso,2017,2019,"Classical, Stage & Screen",,"Score, Soundtrack, Classical",85.5
Close Encounters of the Third Kind,john williams close encounters of the third kind,close encounters of the third kind,1977,1977,"Electronic, Stage & Screen",,"Soundtrack, Score, Disco",95.0
Close Encounters of the Third Kind,electric moog orchestra music from close encounters of the third kind,close encounters of the third kind,1977,1977,"Electronic, Pop, Stage & Screen",,"Experimental, Ambient, Soundtrack",90.0
Close Encounters of the Third Kind,unknown artist music from close encounters of the third kind,close encounters of the third kind,1978,1977,"Electronic, Funk / Soul, Classical, Stage & Screen",,Disco,90.0
Close Encounters of the Third Kind,john williams close encounters of the third kind,close encounters of the third kind,1977,1977,"Electronic, Stage & Screen",,"Soundtrack, Score, Disco",95.0
Close Encounters of the Third Kind,electric moog orchestra music from close encounters of the third kind,close encounters of the third kind,1977,1977,"Electronic, Pop, Stage & Screen",,"Experimental, Ambient, Soundtrack",90.0
Close Encounters of the Third Kind,unknown artist music from close encounters of the third kind,close encounters of the third kind,1978,1977,"Electronic, Funk / Soul, Classical, Stage & Screen",,Disco,90.0
Corpse Bride,danny elfman tim burton corpse bride,corpse bride,2005,2005,Stage & Screen,,"Soundtrack, Score",90.0
Corpse Bride,danny elfman tim burton corpse bride,corpse bride,2005,2005,"Jazz, Stage & Screen",,"Soundtrack, Score",90.0
Corpse Bride,danny elfman tim burton corpse bride,corpse bride,2005,2005,Stage & Screen,,"Soundtrack, Score",90.0
Corpse Bride,danny elfman tim burton corpse bride,corpse bride,2005,2005,Stage & Screen,,"Soundtrack, Score",90.0
Corpse Bride,danny elfman tim burton corpse bride,corpse bride,2005,2005,"Jazz, Stage & Screen",,"Soundtrack, Score",90.0
Corpse Bride,danny elfman tim burton corpse bride,corpse bride,2005,2005,Stage & Screen,,"Soundtrack, Score",90.0
Crimson Peak,fernando velazquez crimson peak,crimson peak,2015,2015,Stage & Screen,,"Soundtrack, Score",90.0
Crimson Peak,fernando velazquez crimson peak,crimson peak,2016,2015,Stage & Screen,,"Soundtrack, Score",90.0
Crimson Peak,fernando velazquez crimson peak,crimson peak,2015,2015,"Classical, Stage & Screen",,"Soundtrack, Score",90.0
Crimson Peak,fernando velazquez crimson peak,crimson peak,2015,2015,Stage & Screen,,"Soundtrack, Score",90.0
Crimson Peak,fernando velazquez crimson peak,crimson peak,2016,2015,Stage & Screen,,"Soundtrack, Score",90.0
Crimson Peak,fernando velazquez crimson peak,crimson peak,2015,2015,"Classical, Stage & Screen",,"Soundtrack, Score",90.0
Deadpool,various deadpool reloaded,deadpool,2016,2016,Stage & Screen,,"Soundtrack, Score",90.0
Deadpool,various deadpool reloaded,deadpool,2016,2018,Stage & Screen,,"Soundtrack, Score",90.0
Deadpool,tom holkenborg aka junkie xl deadpool,deadpool,2016,2016,"Electronic, Stage & Screen",,"Electroclash, Soundtrack",90.0
Deadpool,tom holkenborg aka junkie xl deadpool,deadpool,2016,2018,"Electronic, Stage & Screen",,"Electroclash, Soundtrack",90.0
Deadpool,tom holkenborg aka junkie xl deadpool,deadpool,2016,2016,"Electronic, Stage & Screen",,"Electroclash, Soundtrack",90.0
Deadpool,tom holkenborg aka junkie xl deadpool,deadpool,2016,2018,"Electronic, Stage & Screen",,"Electroclash, Soundtrack",90.0
